side,N,prec,iters,event,per_transform
fftw,60,f64,5000000,cycles,191.4971246
fftw,60,f64,5000000,fp_arith_inst_retired.128b_packed_double,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.128b_packed_single,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.256b_packed_double,358.5010072
fftw,60,f64,5000000,fp_arith_inst_retired.256b_packed_single,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.512b_packed_double,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.512b_packed_single,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.scalar_double,0.9987154
fftw,60,f64,5000000,fp_arith_inst_retired.scalar_single,0.0
fftw,60,f64,5000000,instructions,828.6857368
yafft_v2,60,f64,5000000,cycles,593.1462962
yafft_v2,60,f64,5000000,fp_arith_inst_retired.128b_packed_double,873.3160738
yafft_v2,60,f64,5000000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.scalar_double,1.0000066
yafft_v2,60,f64,5000000,fp_arith_inst_retired.scalar_single,0.0
yafft_v2,60,f64,5000000,instructions,3361.7148668
yafft_v3,60,f64,5000000,cycles,434.0128476
yafft_v3,60,f64,5000000,fp_arith_inst_retired.128b_packed_double,0.0003684
yafft_v3,60,f64,5000000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,60,f64,5000000,fp_arith_inst_retired.256b_packed_double,404.045763
yafft_v3,60,f64,5000000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v3,60,f64,5000000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,60,f64,5000000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,60,f64,5000000,fp_arith_inst_retired.scalar_double,49.019789
yafft_v3,60,f64,5000000,fp_arith_inst_retired.scalar_single,0.0
yafft_v3,60,f64,5000000,instructions,2217.2209718
fftw,120,f64,2500000,cycles,352.1083064
fftw,120,f64,2500000,fp_arith_inst_retired.128b_packed_double,0.0
fftw,120,f64,2500000,fp_arith_inst_retired.128b_packed_single,0.0
fftw,120,f64,2500000,fp_arith_inst_retired.256b_packed_double,790.2909792
fftw,120,f64,2500000,fp_arith_inst_retired.256b_packed_single,0.0
