side,N,prec,iters,event,per_transform
fftw,60,f64,5000000,cycles,190.90026
fftw,60,f64,5000000,fp_arith_inst_retired.128b_packed_double,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.128b_packed_single,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.256b_packed_double,359.2181064
fftw,60,f64,5000000,fp_arith_inst_retired.256b_packed_single,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.512b_packed_double,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.512b_packed_single,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.scalar_double,0.9978814
fftw,60,f64,5000000,fp_arith_inst_retired.scalar_single,0.0
fftw,60,f64,5000000,instructions,828.5583322
yafft_v2,60,f64,5000000,cycles,565.561623
yafft_v2,60,f64,5000000,fp_arith_inst_retired.128b_packed_double,874.4677712
yafft_v2,60,f64,5000000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.scalar_double,0.9976524
yafft_v2,60,f64,5000000,fp_arith_inst_retired.scalar_single,0.0
yafft_v2,60,f64,5000000,instructions,3292.7721156
yafft_v3,60,f64,5000000,cycles,417.2429444
yafft_v3,60,f64,5000000,fp_arith_inst_retired.128b_packed_double,0.0003682
yafft_v3,60,f64,5000000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,60,f64,5000000,fp_arith_inst_retired.256b_packed_double,404.34636
yafft_v3,60,f64,5000000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v3,60,f64,5000000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,60,f64,5000000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,60,f64,5000000,fp_arith_inst_retired.scalar_double,48.8960712
yafft_v3,60,f64,5000000,fp_arith_inst_retired.scalar_single,0.0
yafft_v3,60,f64,5000000,instructions,2142.2630166
yafft_v4,60,f64,5000000,cycles,369.522764
yafft_v4,60,f64,5000000,fp_arith_inst_retired.128b_packed_double,1.3e-05
yafft_v4,60,f64,5000000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,60,f64,5000000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v4,60,f64,5000000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,60,f64,5000000,fp_arith_inst_retired.512b_packed_double,180.3055252
yafft_v4,60,f64,5000000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v4,60,f64,5000000,fp_arith_inst_retired.scalar_double,1.0008128
yafft_v4,60,f64,5000000,fp_arith_inst_retired.scalar_single,0.0
yafft_v4,60,f64,5000000,instructions,962.3904646
fftw,120,f64,2500000,cycles,354.8842676
fftw,120,f64,2500000,fp_arith_inst_retired.128b_packed_double,0.0
fftw,120,f64,2500000,fp_arith_inst_retired.128b_packed_single,0.0
fftw,120,f64,2500000,fp_arith_inst_retired.256b_packed_double,788.8255132
fftw,120,f64,2500000,fp_arith_inst_retired.256b_packed_single,0.0
fftw,120,f64,2500000,fp_arith_inst_retired.512b_packed_double,0.0
fftw,120,f64,2500000,fp_arith_inst_retired.512b_packed_single,0.0
fftw,120,f64,2500000,fp_arith_inst_retired.scalar_double,0.9961452
fftw,120,f64,2500000,fp_arith_inst_retired.scalar_single,0.0
fftw,120,f64,2500000,instructions,1570.698496
yafft_v2,120,f64,2500000,cycles,1051.2717488
yafft_v2,120,f64,2500000,fp_arith_inst_retired.128b_packed_double,1813.3677632
yafft_v2,120,f64,2500000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,120,f64,2500000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,120,f64,2500000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,120,f64,2500000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,120,f64,2500000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,120,f64,2500000,fp_arith_inst_retired.scalar_double,57.128626
yafft_v2,120,f64,2500000,fp_arith_inst_retired.scalar_single,0.0
yafft_v2,120,f64,2500000,instructions,5982.2951548
yafft_v3,120,f64,2500000,cycles,732.5316604
yafft_v3,120,f64,2500000,fp_arith_inst_retired.128b_packed_double,2.16e-05
yafft_v3,120,f64,2500000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,120,f64,2500000,fp_arith_inst_retired.256b_packed_double,880.0041788
yafft_v3,120,f64,2500000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v3,120,f64,2500000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,120,f64,2500000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,120,f64,2500000,fp_arith_inst_retired.scalar_double,169.1103132
yafft_v3,120,f64,2500000,fp_arith_inst_retired.scalar_single,0.0
yafft_v3,120,f64,2500000,instructions,3466.0070436
yafft_v4,120,f64,2500000,cycles,619.9687488
yafft_v4,120,f64,2500000,fp_arith_inst_retired.128b_packed_double,-1.2e-06
yafft_v4,120,f64,2500000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,120,f64,2500000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v4,120,f64,2500000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,120,f64,2500000,fp_arith_inst_retired.512b_packed_double,489.7600724
yafft_v4,120,f64,2500000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v4,120,f64,2500000,fp_arith_inst_retired.scalar_double,392.441282
yafft_v4,120,f64,2500000,fp_arith_inst_retired.scalar_single,0.0
yafft_v4,120,f64,2500000,instructions,2488.5741112
fftw,256,f64,1171875,cycles,721.6221508266667
fftw,256,f64,1171875,fp_arith_inst_retired.128b_packed_double,0.0
fftw,256,f64,1171875,fp_arith_inst_retired.128b_packed_single,0.0
fftw,256,f64,1171875,fp_arith_inst_retired.256b_packed_double,1833.0741290666667
fftw,256,f64,1171875,fp_arith_inst_retired.256b_packed_single,0.0
fftw,256,f64,1171875,fp_arith_inst_retired.512b_packed_double,0.0
fftw,256,f64,1171875,fp_arith_inst_retired.512b_packed_single,0.0
fftw,256,f64,1171875,fp_arith_inst_retired.scalar_double,0.9824264533333333
fftw,256,f64,1171875,fp_arith_inst_retired.scalar_single,0.0
fftw,256,f64,1171875,instructions,3374.4866474666665
yafft_v2,256,f64,1171875,cycles,2414.2133674666666
yafft_v2,256,f64,1171875,fp_arith_inst_retired.128b_packed_double,3774.8617386666665
yafft_v2,256,f64,1171875,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,256,f64,1171875,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,256,f64,1171875,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,256,f64,1171875,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,256,f64,1171875,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,256,f64,1171875,fp_arith_inst_retired.scalar_double,0.9771844266666667
yafft_v2,256,f64,1171875,fp_arith_inst_retired.scalar_single,0.0
yafft_v2,256,f64,1171875,instructions,13150.879353173334
yafft_v3,256,f64,1171875,cycles,1410.9267191466668
yafft_v3,256,f64,1171875,fp_arith_inst_retired.128b_packed_double,7.68e-06
yafft_v3,256,f64,1171875,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,256,f64,1171875,fp_arith_inst_retired.256b_packed_double,1856.2053111466666
yafft_v3,256,f64,1171875,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v3,256,f64,1171875,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,256,f64,1171875,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,256,f64,1171875,fp_arith_inst_retired.scalar_double,0.9745655466666666
yafft_v3,256,f64,1171875,fp_arith_inst_retired.scalar_single,0.0
yafft_v3,256,f64,1171875,instructions,6685.877375146667
yafft_v4,256,f64,1171875,cycles,828.8524893866667
yafft_v4,256,f64,1171875,fp_arith_inst_retired.128b_packed_double,0.006045013333333333
yafft_v4,256,f64,1171875,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,256,f64,1171875,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v4,256,f64,1171875,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,256,f64,1171875,fp_arith_inst_retired.512b_packed_double,884.46993152
yafft_v4,256,f64,1171875,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v4,256,f64,1171875,fp_arith_inst_retired.scalar_double,0.9977326933333334
yafft_v4,256,f64,1171875,fp_arith_inst_retired.scalar_single,0.0
yafft_v4,256,f64,1171875,instructions,2934.3007394133333
fftw,512,f64,585937,cycles,1600.4681390661453
fftw,512,f64,585937,fp_arith_inst_retired.128b_packed_double,0.0
fftw,512,f64,585937,fp_arith_inst_retired.128b_packed_single,0.0
fftw,512,f64,585937,fp_arith_inst_retired.256b_packed_double,4240.345644668283
fftw,512,f64,585937,fp_arith_inst_retired.256b_packed_single,0.0
fftw,512,f64,585937,fp_arith_inst_retired.512b_packed_double,0.0
fftw,512,f64,585937,fp_arith_inst_retired.512b_packed_single,0.0
fftw,512,f64,585937,fp_arith_inst_retired.scalar_double,0.9954841561464799
fftw,512,f64,585937,fp_arith_inst_retired.scalar_single,0.0
fftw,512,f64,585937,instructions,7316.111479561796
yafft_v2,512,f64,585937,cycles,4586.8102850647765
yafft_v2,512,f64,585937,fp_arith_inst_retired.128b_packed_double,8319.937121226343
yafft_v2,512,f64,585937,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,512,f64,585937,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,512,f64,585937,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,512,f64,585937,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,512,f64,585937,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,512,f64,585937,fp_arith_inst_retired.scalar_double,1.0011144542843344
yafft_v2,512,f64,585937,fp_arith_inst_retired.scalar_single,0.0
yafft_v2,512,f64,585937,instructions,25609.469646054098
yafft_v3,512,f64,585937,cycles,2799.5742938233975
yafft_v3,512,f64,585937,fp_arith_inst_retired.128b_packed_double,-0.027130903151704022
yafft_v3,512,f64,585937,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,512,f64,585937,fp_arith_inst_retired.256b_packed_double,4154.0410265950095
yafft_v3,512,f64,585937,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v3,512,f64,585937,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,512,f64,585937,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,512,f64,585937,fp_arith_inst_retired.scalar_double,1.0008499207252657
yafft_v3,512,f64,585937,fp_arith_inst_retired.scalar_single,0.0
yafft_v3,512,f64,585937,instructions,12972.700716971278
yafft_v4,512,f64,585937,cycles,1847.774776127809
yafft_v4,512,f64,585937,fp_arith_inst_retired.128b_packed_double,3.242669433744583e-05
yafft_v4,512,f64,585937,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,512,f64,585937,fp_arith_inst_retired.256b_packed_double,0.0
