side,N,prec,iters,event,per_transform
fftw,60,f64,5000000,cycles,191.608547
fftw,60,f64,5000000,fp_arith_inst_retired.128b_packed_double,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.128b_packed_single,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.256b_packed_double,358.4197236
fftw,60,f64,5000000,fp_arith_inst_retired.256b_packed_single,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.512b_packed_double,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.512b_packed_single,0.0
fftw,60,f64,5000000,fp_arith_inst_retired.scalar_double,1.0012596
fftw,60,f64,5000000,fp_arith_inst_retired.scalar_single,0.0
fftw,60,f64,5000000,instructions,828.9005454
yafft_v2,60,f64,5000000,cycles,568.8354564
yafft_v2,60,f64,5000000,fp_arith_inst_retired.128b_packed_double,873.3590056
yafft_v2,60,f64,5000000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,60,f64,5000000,fp_arith_inst_retired.scalar_double,0.9989438
yafft_v2,60,f64,5000000,fp_arith_inst_retired.scalar_single,0.0
yafft_v2,60,f64,5000000,instructions,3345.4376994
yafft_v3,60,f64,5000000,cycles,375.418325
yafft_v3,60,f64,5000000,fp_arith_inst_retired.128b_packed_double,0.0003682
yafft_v3,60,f64,5000000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,60,f64,5000000,fp_arith_inst_retired.256b_packed_double,403.977201
yafft_v3,60,f64,5000000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v3,60,f64,5000000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,60,f64,5000000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,60,f64,5000000,fp_arith_inst_retired.scalar_double,49.0405958
yafft_v3,60,f64,5000000,fp_arith_inst_retired.scalar_single,0.0
yafft_v3,60,f64,5000000,instructions,1894.6497532
yafft_v4,60,f64,5000000,cycles,369.5732688
yafft_v4,60,f64,5000000,fp_arith_inst_retired.128b_packed_double,-1.32e-05
yafft_v4,60,f64,5000000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,60,f64,5000000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v4,60,f64,5000000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,60,f64,5000000,fp_arith_inst_retired.512b_packed_double,180.2610862
yafft_v4,60,f64,5000000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v4,60,f64,5000000,fp_arith_inst_retired.scalar_double,1.0013738
yafft_v4,60,f64,5000000,fp_arith_inst_retired.scalar_single,0.0
yafft_v4,60,f64,5000000,instructions,961.7059554
fftw,120,f64,2500000,cycles,674.0179904
fftw,120,f64,2500000,fp_arith_inst_retired.128b_packed_double,0.0
fftw,120,f64,2500000,fp_arith_inst_retired.128b_packed_single,0.0
fftw,120,f64,2500000,fp_arith_inst_retired.256b_packed_double,789.5457268
fftw,120,f64,2500000,fp_arith_inst_retired.256b_packed_single,0.0
fftw,120,f64,2500000,fp_arith_inst_retired.512b_packed_double,0.0
fftw,120,f64,2500000,fp_arith_inst_retired.512b_packed_single,0.0
fftw,120,f64,2500000,fp_arith_inst_retired.scalar_double,1.0054824
fftw,120,f64,2500000,fp_arith_inst_retired.scalar_single,0.0
fftw,120,f64,2500000,instructions,1568.8535348
yafft_v2,120,f64,2500000,cycles,1047.6778176
yafft_v2,120,f64,2500000,fp_arith_inst_retired.128b_packed_double,1818.2291512
yafft_v2,120,f64,2500000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,120,f64,2500000,fp_arith_inst_retired.256b_packed_double,0.0
