### v2 ###
f64 N=60 closed-form-DP=3-4-5
f32 N=60 closed-form-DP=3-5-4
f64 N=120 closed-form-DP=3-5-8
f32 N=120 closed-form-DP=3-5-8
f64 N=256 closed-form-DP=4-4-4-4
f32 N=256 closed-form-DP=4-8-8
f64 N=512 closed-form-DP=4-4-4-8
f32 N=512 closed-form-DP=4-4-4-8
f64 N=1024 closed-form-DP=4-4-4-4-4
f32 N=1024 closed-form-DP=4-4-8-8
f64 N=2048 closed-form-DP=4-4-4-4-8
f32 N=2048 closed-form-DP=4-4-4-4-8
f64 N=4096 closed-form-DP=4-4-4-4-4-4
f32 N=4096 closed-form-DP=4-4-4-8-8
f64 N=15120 closed-form-DP=5-3-3-3-4-4-7
f32 N=15120 closed-form-DP=2-3-3-3-5-7-8
### v3 ###
f64 N=60 closed-form-DP=3-5-4
f32 N=60 closed-form-DP=3-2-2-5
f64 N=120 closed-form-DP=3-5-8
f32 N=120 closed-form-DP=3-5-8
f64 N=256 closed-form-DP=2-4-4-8
f32 N=256 closed-form-DP=2-4-4-8
f64 N=512 closed-form-DP=4-4-4-8
f32 N=512 closed-form-DP=4-4-4-8
f64 N=1024 closed-form-DP=2-4-4-4-8
f32 N=1024 closed-form-DP=2-4-4-4-8
f64 N=2048 closed-form-DP=4-4-4-4-8
f32 N=2048 closed-form-DP=4-4-4-4-8
f64 N=4096 closed-form-DP=2-4-4-4-4-8
f32 N=4096 closed-form-DP=2-4-4-4-4-8
f64 N=15120 closed-form-DP=5-3-3-3-4-4-7
f32 N=15120 closed-form-DP=2-3-3-3-5-7-8
### v4 ###
f64 N=60 closed-form-DP=4-15
f32 N=60 closed-form-DP=4-15
f64 N=120 closed-form-DP=15-8
f32 N=120 closed-form-DP=8-15
f64 N=256 closed-form-DP=16-16
f32 N=256 closed-form-DP=16-16
f64 N=512 closed-form-DP=16-32
f32 N=512 closed-form-DP=16-32
f64 N=1024 closed-form-DP=32-32
f32 N=1024 closed-form-DP=32-32
f64 N=2048 closed-form-DP=16-16-8
f32 N=2048 closed-form-DP=16-4-32
f64 N=4096 closed-form-DP=16-16-16
f32 N=4096 closed-form-DP=32-4-32
f64 N=15120 closed-form-DP=7-9-16-15
f32 N=15120 closed-form-DP=15-9-7-16
